movies	recommendation
" 
 Star Wars (1977) 
 It Happened One Night (1934) 
 Graduate, The (1967) 
 39 Steps, The (1935)"	
" 
 Titanic (1997) 
  Full Monty, The (1997) 
  English Patient, The (1996)"	" 
 Matrix, The (1999)"
" 
 M*A*S*H (1970) 
 Streetcar Named Desire, A (1951) 
 Killing Fields, The (1984) 
 To Kill a Mockingbird (1962)"	
" 
 Dead Poets Society (1989) 
  Natural Born Killers (1994)"	" 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
 Dave (1993) 
 Up Close and Personal (1996) 
 Donnie Brasco (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Until the End of the World (Bis ans Ende der Welt) (1991) 
 Babe (1995) 
 Breaking the Waves (1996) 
 Wings of Desire (1987)"	
" 
 Midnight in the Garden of Good and Evil (1997) 
 Braveheart (1995) 
 Titanic (1997) 
 Contact (1997)"	
" 
 She's the One (1996) 
 English Patient, The (1996) 
 Liar Liar (1997) 
 Seven Years in Tibet (1997)"	
" 
 Empire Strikes Back, The (1980) 
  C'est arrivé près de chez vous (1992)"	
" 
 Titanic (1997) 
 Fast, Cheap & Out of Control (1997) 
 Good Will Hunting (1997) 
 Welcome To Sarajevo (1997)"	" 
 Matrix, The (1999)"
" 
 As Good As It Gets (1997) 
 Empire Strikes Back, The (1980) 
 Starship Troopers (1997) 
 Wallace & Gromit: The Best of Aardman Animation (1996)"	
" 
 Mission: Impossible (1996) 
  Twister (1996)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Terminator 2: Judgment Day (1991)"
" 
 Birds, The (1963) 
 North by Northwest (1959) 
 Great Race, The (1965) 
 Princess Bride, The (1987)"	
" 
 Manchurian Candidate, The (1962) 
 Arsenic and Old Lace (1944) 
 Singin' in the Rain (1952) 
 Rear Window (1954)"	
" 
 Seven (Se7en) (1995) 
 English Patient, The (1996) 
 Blues Brothers, The (1980) 
 Alien (1979)"	
" 
 Strange Days (1995) 
 Empire Strikes Back, The (1980) 
 Aliens (1986) 
 Silence of the Lambs, The (1991)"	
" 
 Celluloid Closet, The (1995) 
  Cold Comfort Farm (1995)"	
" 
 Graduate, The (1967) 
 Mr. Smith Goes to Washington (1939) 
 Manhattan Murder Mystery (1993) 
 Streetcar Named Desire, A (1951)"	
" 
 Titanic (1997) 
 Star Trek: First Contact (1996) 
 Star Trek: The Wrath of Khan (1982) 
 Contact (1997)"	" 
 Matrix, The (1999)"
" 
 Seven (Se7en) (1995) 
 Saint, The (1997) 
 Empire Strikes Back, The (1980) 
 Ghost in the Shell (Kokaku kidotai) (1995)"	
" 
 Antonia's Line (1995) 
 Contact (1997) 
 Angels and Insects (1995) 
 Full Monty, The (1997)"	
" 
 Toy Story (1995) 
  Braveheart (1995) 
  E.T. the Extra-Terrestrial (1982)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Emma (1996) 
 Mr. Holland's Opus (1995) 
 Matilda (1996) 
 Star Wars (1977)"	
" 
 Amadeus (1984) 
 Room with a View, A (1986) 
 Taxi Driver (1976) 
 This Is Spinal Tap (1984)"	
" 
 Chasing Amy (1997) 
  Fearless (1993)"	
" 
 Men in Black (1997) 
 Big Lebowski, The (1998) 
 Schindler's List (1993) 
 Annie Hall (1977)"	
" 
 Mystery Science Theater 3000: The Movie (1996) 
 Star Trek: The Wrath of Khan (1982) 
 Star Trek IV: The Voyage Home (1986) 
 Star Wars (1977)"	
" 
 Silence of the Lambs, The (1991) 
  Shawshank Redemption, The (1994)"	" 
 Pulp Fiction (1994)"
" 
 Pulp Fiction (1994) 
  Silence of the Lambs, The (1991) 
  Happy Gilmore (1996)"	" 
 Silence of the Lambs, The (1991)"
" 
 Reservoir Dogs (1992) 
  Seven (Se7en) (1995)"	" 
 Sixth Sense, The (1999) 
 Alien (1979) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999)"
" 
 Empire Strikes Back, The (1980) 
 Usual Suspects, The (1995) 
 Star Wars (1977) 
 One Flew Over the Cuckoo's Nest (1975)"	
" 
 Graduate, The (1967) 
  Usual Suspects, The (1995)"	
" 
 Full Monty, The (1997) 
  Kolya (1996)"	
" 
 Star Wars (1977) 
  Air Force One (1997)"	
" 
 Big Lebowski, The (1998) 
  Boogie Nights (1997)"	" 
 Truman Show, The (1998) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Lord of the Rings: The Fellowship of the Ring, The (2001)"
" 
 Terminator 2: Judgment Day (1991) 
  Annie Hall (1977) 
  Hoop Dreams (1994)"	" 
 Jurassic Park (1993) 
 Braveheart (1995) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Sense and Sensibility (1995) 
  Fargo (1996)"	
" 
 Mr. Smith Goes to Washington (1939) 
 Braveheart (1995) 
 Princess Bride, The (1987) 
 Maverick (1994)"	
" 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
  Thin Man, The (1934)"	
" 
 Fargo (1996) 
  L.A. Confidential (1997) 
  Godfather, The (1972)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Star Wars (1977) 
 Swingers (1996) 
 Mystery Science Theater 3000: The Movie (1996) 
 Godfather, The (1972)"	
" 
 Sneakers (1992) 
 Clerks (1994) 
 Mystery Science Theater 3000: The Movie (1996) 
 Akira (1988)"	
" 
 Breakfast at Tiffany's (1961) 
 Sling Blade (1996) 
 Dead Poets Society (1989) 
 Good Will Hunting (1997)"	
" 
 Fugitive, The (1993) 
 Murder in the First (1995) 
 Die Hard 2 (1990) 
 Die xue shuang xiong (Killer, The) (1989)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Apollo 13 (1995)"
" 
 Cop Land (1997) 
 Apt Pupil (1998) 
 Lost Highway (1997) 
 Gattaca (1997)"	
" 
 Get on the Bus (1996) 
 People vs. Larry Flynt, The (1996) 
 Blue in the Face (1995) 
 Trainspotting (1996)"	
" 
 Apocalypse Now (1979) 
  Air Force One (1997) 
  Deconstructing Harry (1997)"	" 
 Sixth Sense, The (1999) 
 American Beauty (1999) 
 Full Metal Jacket (1987) 
 Fargo (1996)"
" 
 Devil's Advocate, The (1997) 
 Chasing Amy (1997) 
 Kiss the Girls (1997) 
 Starship Troopers (1997)"	
" 
 Crumb (1994) 
 Shining, The (1980) 
 Paths of Glory (1957) 
 Taxi Driver (1976)"	
" 
 Air Force One (1997) 
 Contact (1997) 
 Amistad (1997) 
 Rainmaker, The (1997)"	
" 
 Boot, Das (1981) 
 Godfather: Part II, The (1974) 
 Magnificent Seven, The (1954) 
 Lawrence of Arabia (1962)"	
" 
 Right Stuff, The (1983) 
  Hunt for Red October, The (1990) 
  Deer Hunter, The (1978)"	
" 
 Mr. Smith Goes to Washington (1939) 
  Back to the Future (1985)"	
" 
 Contact (1997) 
  G.I. Jane (1997) 
  Fire Down Below (1997)"	
" 
 Chasing Amy (1997) 
 Dead Man Walking (1995) 
 Swingers (1996) 
 Trainspotting (1996)"	
" 
 Delicatessen (1991) 
 Jackie Brown (1997) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Pulp Fiction (1994)"	
" 
 Toy Story (1995) 
  Blade Runner (1982)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 One Flew Over the Cuckoo's Nest (1975) 
  Raising Arizona (1987)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Vanya on 42nd Street (1994) 
  Reservoir Dogs (1992)"	
" 
 Toy Story (1995) 
  To Catch a Thief (1955)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Butch Cassidy and the Sundance Kid (1969) 
 Star Wars (1977) 
 Blade Runner (1982) 
 Spitfire Grill, The (1996)"	
" 
 Toy Story (1995) 
  Reservoir Dogs (1992) 
  Strange Days (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
  Gone with the Wind (1939) 
  Indiana Jones and the Last Crusade (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Godfather, The (1972) 
  Heavy Metal (1981)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Chasing Amy (1997) 
  Much Ado About Nothing (1993)"	
" 
 Groundhog Day (1993) 
  Glory (1989)"	" 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Back to the Future (1985) 
 American Beauty (1999)"
" 
 Sabrina (1954) 
  Romy and Michele's High School Reunion (1997)"	
" 
 Terminator 2: Judgment Day (1991) 
  Star Wars (1977) 
  Close Shave, A (1995)"	" 
 Jurassic Park (1993) 
 Braveheart (1995) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Return of the Jedi (1983) 
  Forrest Gump (1994)"	
" 
 Dante's Peak (1997) 
 Postman, The (1997) 
 Desperate Measures (1998) 
 L.A. Confidential (1997)"	
" 
 George of the Jungle (1997) 
 Titanic (1997) 
 Seven Years in Tibet (1997) 
 Braveheart (1995)"	
" 
 Amistad (1997) 
  Mr. Holland's Opus (1995)"	
" 
 Big Night (1996) 
 Boot, Das (1981) 
 Wings of the Dove, The (1997) 
 Leaving Las Vegas (1995)"	
" 
 Schindler's List (1993) 
  Willy Wonka and the Chocolate Factory (1971) 
  Princess Bride, The (1987)"	" 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Shawshank Redemption, The (1994)"
" 
 To Kill a Mockingbird (1962) 
  Cinderella (1950)"	
" 
 Enchanted April (1991) 
  Waiting for Guffman (1996)"	
" 
 Chasing Amy (1997) 
 Titanic (1997) 
 Air Force One (1997) 
 Scream (1996)"	
" 
 Die Hard (1988) 
 Raiders of the Lost Ark (1981) 
 True Lies (1994) 
 Braveheart (1995)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Terminator 2: Judgment Day (1991) 
 Back to the Future (1985)"
" 
 In the Company of Men (1997) 
 Lawrence of Arabia (1962) 
 Godfather, The (1972) 
 Misérables, Les (1995)"	
" 
 Face/Off (1997) 
  Time to Kill, A (1996)"	
" 
 Return of the Jedi (1983) 
  Swingers (1996)"	
" 
 Die Hard 2 (1990) 
  Stargate (1994)"	
" 
 Men in Black (1997) 
 Demolition Man (1993) 
 Return of the Jedi (1983) 
 Fargo (1996)"	
" 
 Hoop Dreams (1994) 
  Cyrano de Bergerac (1990)"	
" 
 Toy Story (1995) 
  Mr. Holland's Opus (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Psycho (1960) 
 Parent Trap, The (1961) 
 To Kill a Mockingbird (1962) 
 Graduate, The (1967)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994)"
" 
 Batman Returns (1992) 
  Star Trek: First Contact (1996) 
  Batman (1989)"	
" 
 Toy Story (1995) 
 One Flew Over the Cuckoo's Nest (1975) 
 Boot, Das (1981) 
 Manhattan (1979)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
  Godfather, The (1972) 
  Star Wars (1977)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Benny & Joon (1993) 
 Angels and Insects (1995) 
 Indiana Jones and the Last Crusade (1989) 
 Wizard of Oz, The (1939)"	
" 
 Forrest Gump (1994) 
 Reservoir Dogs (1992) 
 Beavis and Butt-head Do America (1996) 
 To Kill a Mockingbird (1962)"	
" 
 Jean de Florette (1986) 
 Devil's Advocate, The (1997) 
 Face/Off (1997) 
 Chasing Amy (1997)"	
" 
 Toy Story (1995) 
 Star Trek: The Wrath of Khan (1982) 
 Shawshank Redemption, The (1994) 
 Casablanca (1942)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Star Wars (1977) 
 Black Sheep (1996) 
 Contact (1997) 
 Dunston Checks In (1996)"	
" 
 Contact (1997) 
  Edge, The (1997)"	
" 
 First Wives Club, The (1996) 
 Nell (1994) 
 Schindler's List (1993) 
 Man Without a Face, The (1993)"	
" 
 Sliding Doors (1998) 
 Forrest Gump (1994) 
 Dances with Wolves (1990) 
 Terminator 2: Judgment Day (1991)"	
" 
 Titanic (1997) 
 Full Monty, The (1997) 
 Seven Years in Tibet (1997) 
 English Patient, The (1996)"	" 
 Matrix, The (1999)"
" 
 Pulp Fiction (1994) 
 Kaspar Hauser (1993) 
 North by Northwest (1959) 
 Terminator, The (1984)"	" 
 Silence of the Lambs, The (1991)"
" 
 Usual Suspects, The (1995) 
 2001: A Space Odyssey (1968) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Bridges of Madison County, The (1995)"	" 
 Forrest Gump (1994) 
 Pulp Fiction (1994) 
 Shawshank Redemption, The (1994)"
" 
 As Good As It Gets (1997) 
  Titanic (1997)"	
" 
 Toy Story (1995) 
 Old Yeller (1957) 
 Secrets & Lies (1996) 
 L.A. Confidential (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 That Thing You Do! (1996) 
 To Gillian on Her 37th Birthday (1996) 
 Truth About Cats & Dogs, The (1996) 
 Picture Perfect (1997)"	
" 
 Good Will Hunting (1997) 
  Titanic (1997)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Great Escape, The (1963) 
  Sting, The (1973)"	
" 
 Trainspotting (1996) 
  Brazil (1985)"	" 
 Seven (a.k.a. Se7en) (1995) 
 Twelve Monkeys (a.k.a. 12 Monkeys) (1995) 
 Braveheart (1995) 
 American Beauty (1999)"
" 
 Fargo (1996) 
 Cold Comfort Farm (1995) 
 Jerry Maguire (1996) 
 Infinity (1996)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Paris, Texas (1984) 
  Dead Man (1995)"	
" 
 Vegas Vacation (1997) 
  Game, The (1997)"	
" 
 Brothers McMullen, The (1995) 
 Graduate, The (1967) 
 U Turn (1997) 
 Singin' in the Rain (1952)"	
" 
 L.A. Confidential (1997) 
 Tango Lesson, The (1997) 
 Kolya (1996) 
 Titanic (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Air Force One (1997) 
  George of the Jungle (1997)"	
" 
 Big Lebowski, The (1998) 
  Full Monty, The (1997)"	" 
 Truman Show, The (1998) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Lord of the Rings: The Fellowship of the Ring, The (2001)"
" 
 Maltese Falcon, The (1941) 
 Chinatown (1974) 
 Gone with the Wind (1939) 
 Annie Hall (1977)"	
" 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
  English Patient, The (1996)"	
" 
 Rock, The (1996) 
 Return of the Jedi (1983) 
 Star Wars (1977) 
 Twister (1996)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991)"
" 
 Phantoms (1998) 
  Telling Lies in America (1997)"	
" 
 Return of the Jedi (1983) 
 Aliens (1986) 
 Highlander (1986) 
 Fugitive, The (1993)"	
" 
 Forrest Gump (1994) 
 Jaws (1975) 
 E.T. the Extra-Terrestrial (1982) 
 Back to the Future (1985)"	
" 
 Apocalypse Now (1979) 
 Bitter Moon (1992) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Some Like It Hot (1959)"	" 
 Sixth Sense, The (1999) 
 American Beauty (1999) 
 Full Metal Jacket (1987) 
 Fargo (1996)"
" 
 Toy Story (1995) 
 Men in Black (1997) 
 Lion King, The (1994) 
 Terminator 2: Judgment Day (1991)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Wings of the Dove, The (1997) 
 Dead Man Walking (1995) 
 Ulee's Gold (1997) 
 L.A. Confidential (1997)"	
" 
 Liar Liar (1997) 
 Deceiver (1997) 
 Contact (1997) 
 Alien: Resurrection (1997)"	
" 
 Like Water For Chocolate (Como agua para chocolate) (1992) 
 Gandhi (1982) 
 One Flew Over the Cuckoo's Nest (1975) 
 Rear Window (1954)"	
" 
 Dial M for Murder (1954) 
 High Noon (1952) 
 Raising Arizona (1987) 
 Breakfast at Tiffany's (1961)"	
" 
 Star Trek: The Wrath of Khan (1982) 
 Amadeus (1984) 
 Raiders of the Lost Ark (1981) 
 Silence of the Lambs, The (1991)"	
" 
 Star Trek: First Contact (1996) 
 Mr. Holland's Opus (1995) 
 Mystery Science Theater 3000: The Movie (1996) 
 Saint, The (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Jerry Maguire (1996) 
  Tin Cup (1996)"	" 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
  Star Trek VI: The Undiscovered Country (1991)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Blade Runner (1982) 
 Notorious (1946) 
 World of Apu, The (Apur Sansar) (1959) 
 Rear Window (1954)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Jurassic Park (1993) 
  Phenomenon (1996)"	" 
 Terminator 2: Judgment Day (1991) 
 Fugitive, The (1993) 
 Braveheart (1995) 
 Forrest Gump (1994)"
" 
 Long Kiss Goodnight, The (1996) 
  Glory (1989)"	
" 
 Contact (1997) 
 Wizard of Oz, The (1939) 
 Star Wars (1977) 
 Monty Python's Life of Brian (1979)"	
" 
 Toy Story (1995) 
  Reservoir Dogs (1992)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Shawshank Redemption, The (1994) 
  Casablanca (1942) 
  M*A*S*H (1970)"	
" 
 Swingers (1996) 
  Big Night (1996)"	
" 
 English Patient, The (1996) 
  Titanic (1997)"	
" 
 Toy Story (1995) 
 Cats Don't Dance (1997) 
 Contact (1997) 
 Fargo (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Good Will Hunting (1997) 
 I Know What You Did Last Summer (1997) 
 Braveheart (1995) 
 Air Force One (1997)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Toy Story (1995) 
 Return of the Pink Panther, The (1974) 
 E.T. the Extra-Terrestrial (1982) 
 Indiana Jones and the Last Crusade (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Wedding Singer, The (1998)"	
" 
 Blade Runner (1982) 
  Pulp Fiction (1994)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Toy Story (1995) 
 Jerry Maguire (1996) 
 Star Wars (1977) 
 Beautiful Girls (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Star Wars (1977) 
 Austin Powers: International Man of Mystery (1997) 
 L.A. Confidential (1997) 
 Citizen Kane (1941)"	
" 
 12 Angry Men (1957) 
  Terminator 2: Judgment Day (1991)"	
" 
 Donnie Brasco (1997) 
  Boogie Nights (1997)"	
" 
 Lone Star (1996) 
 Manchurian Candidate, The (1962) 
 Close Shave, A (1995) 
 Chinatown (1974)"	
" 
 Strange Days (1995) 
 Carrie (1976) 
 Truth About Cats & Dogs, The (1996) 
 Shallow Grave (1994)"	
" 
 Toy Story (1995) 
  Kingpin (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Shawshank Redemption, The (1994) 
 Manchurian Candidate, The (1962) 
 Month by the Lake, A (1995) 
 Wallace & Gromit: The Best of Aardman Animation (1996)"	
" 
 Raging Bull (1980) 
  Postino, Il (1994) 
  My Fair Lady (1964)"	
" 
 Toy Story (1995) 
 Secrets & Lies (1996) 
 Donnie Brasco (1997) 
 Crucible, The (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Lost Highway (1997) 
  Hoodlum (1997)"	
" 
 Toy Story (1995) 
  Mr. Holland's Opus (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Gattaca (1997) 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
 Ice Storm, The (1997) 
 English Patient, The (1996)"	" 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Private Parts (1997) 
  Wrong Trousers, The (1993)"	
" 
 L.A. Confidential (1997) 
  Cop Land (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Star Wars (1977) 
 First Wives Club, The (1996) 
 Mother (1996) 
 Independence Day (ID4) (1996)"	
" 
 Pollyanna (1960) 
 Man Without a Face, The (1993) 
 Cinderella (1950) 
 Alice in Wonderland (1951)"	
" 
 Birdcage, The (1996) 
  Boot, Das (1981)"	
" 
 Contact (1997) 
  GoodFellas (1990) 
  Die Hard (1988)"	
" 
 Face/Off (1997) 
  Chasing Amy (1997)"	
" 
 Star Wars (1977) 
 George of the Jungle (1997) 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
 As Good As It Gets (1997)"	
" 
 Toy Story (1995) 
  Clerks (1994) 
  Apollo 13 (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Kolya (1996) 
 English Patient, The (1996) 
 Lone Star (1996) 
 Star Wars (1977)"	
" 
 My Favorite Year (1982) 
 Blues Brothers, The (1980) 
 North by Northwest (1959) 
 Vertigo (1958)"	
" 
 Tombstone (1993) 
  Highlander (1986)"	
" 
 In & Out (1997) 
 Swingers (1996) 
 Chasing Amy (1997) 
 Beautiful Thing (1996)"	
" 
 One Flew Over the Cuckoo's Nest (1975) 
  Contact (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Four Weddings and a Funeral (1994) 
  Butch Cassidy and the Sundance Kid (1969) 
  Men in Black (1997)"	" 
 Jurassic Park (1993) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Pulp Fiction (1994)"
" 
 City of Lost Children, The (1995) 
 Lost Highway (1997) 
 Big Night (1996) 
 Shining, The (1980)"	
" 
 Liar Liar (1997) 
 Truth About Cats & Dogs, The (1996) 
 Full Monty, The (1997) 
 Stealing Beauty (1996)"	
" 
 Raiders of the Lost Ark (1981) 
  Sleepers (1996)"	
" 
 Twister (1996) 
  Braveheart (1995)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Toy Story (1995)"
" 
 Titanic (1997) 
 Air Force One (1997) 
 Star Trek: First Contact (1996) 
 Con Air (1997)"	" 
 Matrix, The (1999)"
" 
 Seven Years in Tibet (1997) 
 Full Monty, The (1997) 
 English Patient, The (1996) 
 Postman, The (1997)"	
" 
 Butch Cassidy and the Sundance Kid (1969) 
  Babe (1995)"	
" 
 Aliens (1986) 
 Batman (1989) 
 Speed (1994) 
 Die Hard 2 (1990)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Alien (1979) 
 Bronx Tale, A (1993) 
 Great Escape, The (1963) 
 Dead Poets Society (1989)"	" 
 Aliens (1986) 
 Terminator 2: Judgment Day (1991) 
 American Beauty (1999) 
 Star Wars: Episode VI - Return of the Jedi (1983)"
" 
 Lost Highway (1997) 
  Everyone Says I Love You (1996)"	
" 
 Scream (1996) 
  Truth About Cats & Dogs, The (1996)"	
" 
 Empire Strikes Back, The (1980) 
  Substitute, The (1996)"	
" 
 Star Wars (1977) 
 Willy Wonka and the Chocolate Factory (1971) 
 Braveheart (1995) 
 Godfather, The (1972)"	
" 
 Searching for Bobby Fischer (1993) 
  Chasing Amy (1997) 
  Adventures of Priscilla, Queen of the Desert, The (1994)"	
" 
 Amadeus (1984) 
 Godfather, The (1972) 
 Forrest Gump (1994) 
 Field of Dreams (1989)"	
" 
 Toy Story (1995) 
 Aliens (1986) 
 Bram Stoker's Dracula (1992) 
 Field of Dreams (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
 Under Siege (1992) 
 Star Trek IV: The Voyage Home (1986) 
 Star Trek III: The Search for Spock (1984)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Psycho (1960) 
  Alien (1979) 
  Maltese Falcon, The (1941)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994)"
" 
 Blue in the Face (1995) 
  Mighty Aphrodite (1995) 
  Crossing Guard, The (1995)"	
