movies	recommendation
" 
 English Patient, The (1996) 
  Nell (1994)"	
" 
 Terminator, The (1984) 
  Chasing Amy (1997)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Jurassic Park (1993) 
 Die Hard (1988) 
 Sixth Sense, The (1999)"
" 
 Dragonheart (1996) 
  Secrets & Lies (1996)"	
" 
 Monty Python and the Holy Grail (1974) 
  When Harry Met Sally... (1989)"	
" 
 Dances with Wolves (1990) 
  Mr. Holland's Opus (1995) 
  Raiders of the Lost Ark (1981)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Apollo 13 (1995)"
" 
 As Good As It Gets (1997) 
  Good Will Hunting (1997)"	
" 
 Ghost and the Darkness, The (1996) 
  Searching for Bobby Fischer (1993)"	
" 
 Amistad (1997) 
  Soul Food (1997)"	
" 
 Contact (1997) 
 Rainmaker, The (1997) 
 Return of the Jedi (1983) 
 Star Wars (1977)"	
" 
 My Best Friend's Wedding (1997) 
 Seven (Se7en) (1995) 
 Good Will Hunting (1997) 
 Face/Off (1997)"	
" 
 Titanic (1997) 
 As Good As It Gets (1997) 
 Good Will Hunting (1997) 
 English Patient, The (1996)"	" 
 Matrix, The (1999)"
" 
 Glory (1989) 
  Quiz Show (1994)"	
" 
 Titanic (1997) 
 Air Force One (1997) 
 G.I. Jane (1997) 
 Rosewood (1997)"	" 
 Matrix, The (1999)"
" 
 Casino (1995) 
 Usual Suspects, The (1995) 
 Chasing Amy (1997) 
 Fargo (1996)"	" 
 Pulp Fiction (1994)"
" 
 Short Cuts (1993) 
  Piano, The (1993)"	
" 
 Blues Brothers, The (1980) 
 Monty Python and the Holy Grail (1974) 
 Young Frankenstein (1974) 
 Princess Bride, The (1987)"	" 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Casablanca (1942) 
 Shine (1996) 
 Big Night (1996) 
 Citizen Kane (1941)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980)"
" 
 Rock, The (1996) 
 Godfather, The (1972) 
 Last Man Standing (1996) 
 Boot, Das (1981)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991)"
" 
 Air Force One (1997) 
 Devil's Advocate, The (1997) 
 Titanic (1997) 
 Stranger in the House (1997)"	
" 
 Toy Story (1995) 
  Dead Poets Society (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Miracle on 34th Street (1994) 
 Sting, The (1973) 
 Maltese Falcon, The (1941) 
 North by Northwest (1959)"	
" 
 Antonia's Line (1995) 
 Silence of the Lambs, The (1991) 
 Bound (1996) 
 Jerry Maguire (1996)"	
" 
 Jerry Maguire (1996) 
 Secrets & Lies (1996) 
 Kolya (1996) 
 Guantanamera (1994)"	" 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
 Psycho (1960) 
 Blade Runner (1982) 
 Aladdin (1992)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Fly Away Home (1996) 
 Seven Years in Tibet (1997) 
 Picture Perfect (1997) 
 Jungle2Jungle (1997)"	
" 
 Short Cuts (1993) 
  Bridges of Madison County, The (1995)"	
" 
 Hamlet (1996) 
  Somewhere in Time (1980)"	
" 
 Local Hero (1983) 
 Raiders of the Lost Ark (1981) 
 Star Wars (1977) 
 Pulp Fiction (1994)"	
" 
 Singin' in the Rain (1952) 
  Four Weddings and a Funeral (1994)"	
" 
 Contact (1997) 
 Shawshank Redemption, The (1994) 
 Third Man, The (1949) 
 Twelve Monkeys (1995)"	
" 
 Postman, The (1997) 
  Wings of the Dove, The (1997) 
  Apostle, The (1997)"	
" 
 Leaving Las Vegas (1995) 
  Ed Wood (1994)"	
" 
 Scream (1996) 
  Day the Earth Stood Still, The (1951)"	
" 
 Amistad (1997) 
 Liar Liar (1997) 
 Swept from the Sea (1997) 
 Evita (1996)"	
" 
 Willy Wonka and the Chocolate Factory (1971) 
  Nikita (La Femme Nikita) (1990) 
  Scream (1996)"	
" 
 Annie Hall (1977) 
 Godfather: Part II, The (1974) 
 Ma vie en rose (My Life in Pink) (1997) 
 In the Company of Men (1997)"	
" 
 L.A. Confidential (1997) 
 Lost Highway (1997) 
 Crash (1996) 
 Washington Square (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Fargo (1996) 
  Silence of the Lambs, The (1991)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Apt Pupil (1998) 
 Boogie Nights (1997) 
 Chasing Amy (1997) 
 Jackie Brown (1997)"	
" 
 Toy Story (1995) 
  Psycho (1960) 
  Silence of the Lambs, The (1991)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Monty Python and the Holy Grail (1974) 
  Local Hero (1983)"	
" 
 Toy Story (1995) 
 Men in Black (1997) 
 Godfather, The (1972) 
 Absolute Power (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Top Gun (1986) 
  Titanic (1997)"	
" 
 Good Will Hunting (1997) 
 Apt Pupil (1998) 
 In & Out (1997) 
 Evita (1996)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Ghost and the Darkness, The (1996) 
 Rock, The (1996) 
 Braveheart (1995) 
 Dragonheart (1996)"	
" 
 Time to Kill, A (1996) 
 Mission: Impossible (1996) 
 Ransom (1996) 
 Courage Under Fire (1996)"	
" 
 Big Night (1996) 
  Everyone Says I Love You (1996)"	
" 
 Three Colors: Red (1994) 
 Full Monty, The (1997) 
 L.A. Confidential (1997) 
 Manchurian Candidate, The (1962)"	
" 
 Contact (1997) 
 Godfather, The (1972) 
 Fargo (1996) 
 Postino, Il (1994)"	
" 
 Pretty Woman (1990) 
 Dante's Peak (1997) 
 Star Trek: First Contact (1996) 
 Rock, The (1996)"	" 
 Mrs. Doubtfire (1993) 
 Speed (1994) 
 Jurassic Park (1993) 
 Aladdin (1992)"
" 
 Four Weddings and a Funeral (1994) 
  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"	" 
 Jurassic Park (1993) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Pulp Fiction (1994)"
" 
 Toy Story (1995) 
 Persuasion (1995) 
 Return of the Pink Panther, The (1974) 
 How to Make an American Quilt (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Trainspotting (1996) 
  Primal Fear (1996)"	" 
 Seven (a.k.a. Se7en) (1995) 
 Twelve Monkeys (a.k.a. 12 Monkeys) (1995) 
 Braveheart (1995) 
 American Beauty (1999)"
" 
 High Noon (1952) 
 This Is Spinal Tap (1984) 
 Birds, The (1963) 
 Full Monty, The (1997)"	
" 
 Toy Story (1995) 
  Amadeus (1984)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Titanic (1997) 
  Forrest Gump (1994) 
  Star Wars (1977)"	" 
 Matrix, The (1999)"
" 
 Toy Story (1995) 
 Lawrence of Arabia (1962) 
 Notorious (1946) 
 North by Northwest (1959)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Mr. Holland's Opus (1995) 
  Jeffrey (1995)"	
" 
 Annie Hall (1977) 
 Clerks (1994) 
 Silence of the Lambs, The (1991) 
 Jaws (1975)"	
" 
 Titanic (1997) 
 Beautician and the Beast, The (1997) 
 Men in Black (1997) 
 Face/Off (1997)"	" 
 Matrix, The (1999)"
" 
 Titanic (1997) 
  Graduate, The (1967)"	" 
 Matrix, The (1999)"
" 
 Shall We Dance? (1996) 
  Wings of the Dove, The (1997) 
  Sense and Sensibility (1995)"	
" 
 Good Will Hunting (1997) 
  Dances with Wolves (1990)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Exotica (1994) 
  Vanya on 42nd Street (1994)"	
" 
 Toy Story (1995) 
  Birdcage, The (1996) 
  Age of Innocence, The (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Ulee's Gold (1997) 
  English Patient, The (1996) 
  Soul Food (1997)"	
" 
 Dragonheart (1996) 
 Independence Day (ID4) (1996) 
 Star Trek: First Contact (1996) 
 Toy Story (1995)"	
" 
 North by Northwest (1959) 
  Graduate, The (1967)"	
" 
 Schindler's List (1993) 
  Great Escape, The (1963)"	" 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Shawshank Redemption, The (1994)"
" 
 Microcosmos: Le peuple de l'herbe (1996) 
  Amateur (1994)"	
" 
 Monty Python and the Holy Grail (1974) 
 Saint, The (1997) 
 Wrong Trousers, The (1993) 
 Abyss, The (1989)"	
" 
 2001: A Space Odyssey (1968) 
  Star Trek IV: The Voyage Home (1986) 
  Man Without a Face, The (1993)"	" 
 Alien (1979) 
 Terminator 2: Judgment Day (1991) 
 Blade Runner (1982) 
 Fargo (1996)"
" 
 Toy Story (1995) 
 Muriel's Wedding (1994) 
 Psycho (1960) 
 Blues Brothers, The (1980)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Empire Strikes Back, The (1980) 
  Romy and Michele's High School Reunion (1997) 
  Face/Off (1997)"	
" 
 Trainspotting (1996) 
  Godfather: Part II, The (1974)"	" 
 Seven (a.k.a. Se7en) (1995) 
 Twelve Monkeys (a.k.a. 12 Monkeys) (1995) 
 Braveheart (1995) 
 American Beauty (1999)"
" 
 L.A. Confidential (1997) 
 Titanic (1997) 
 Air Force One (1997) 
 Rosewood (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Mrs. Dalloway (1997) 
 Piano, The (1993) 
 Looking for Richard (1996) 
 Henry V (1989)"	
" 
 Cold Comfort Farm (1995) 
 Antonia's Line (1995) 
 Fargo (1996) 
 Brassed Off (1996)"	
" 
 Fish Called Wanda, A (1988) 
  Monty Python and the Holy Grail (1974)"	
" 
 Brassed Off (1996) 
 Tin Drum, The (Blechtrommel, Die) (1979) 
 Three Colors: Red (1994) 
 Three Colors: Blue (1993)"	
" 
 Butch Cassidy and the Sundance Kid (1969) 
  Philadelphia Story, The (1940) 
  Big Night (1996)"	
" 
 Amadeus (1984) 
  Manchurian Candidate, The (1962)"	
" 
 Toy Story (1995) 
  Forrest Gump (1994) 
  Room with a View, A (1986)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Fargo (1996) 
 Contact (1997) 
 Lone Star (1996) 
 Spitfire Grill, The (1996)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Before Sunrise (1995) 
 One Flew Over the Cuckoo's Nest (1975) 
 Shall We Dance? (1996) 
 Bridge on the River Kwai, The (1957)"	
" 
 Secret of Roan Inish, The (1994) 
  Antonia's Line (1995)"	
" 
 Nikita (La Femme Nikita) (1990) 
 Silence of the Lambs, The (1991) 
 Full Monty, The (1997) 
 Sense and Sensibility (1995)"	
" 
 Toy Story (1995) 
  Cinderella (1950)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
 Mars Attacks! (1996) 
 My Best Friend's Wedding (1997) 
 Fargo (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Men in Black (1997) 
  Postino, Il (1994)"	
" 
 Heathers (1989) 
  Field of Dreams (1989) 
  Wallace & Gromit: The Best of Aardman Animation (1996)"	
" 
 Toy Story (1995) 
 Titanic (1997) 
 Shining, The (1980) 
 Kull the Conqueror (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Full Monty, The (1997) 
 Boot, Das (1981) 
 L.A. Confidential (1997) 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"	
" 
 Secrets & Lies (1996) 
 Fargo (1996) 
 Return of the Jedi (1983) 
 Lost World: Jurassic Park, The (1997)"	
" 
 Air Force One (1997) 
  English Patient, The (1996)"	
" 
 Life Less Ordinary, A (1997) 
  Ma vie en rose (My Life in Pink) (1997)"	
" 
 Love! Valour! Compassion! (1997) 
  Mars Attacks! (1996)"	
" 
 Scream (1996) 
 I Know What You Did Last Summer (1997) 
 Starship Troopers (1997) 
 Alien: Resurrection (1997)"	
" 
 Toy Story (1995) 
  Chinatown (1974)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Lion King, The (1994) 
 Sound of Music, The (1965) 
 Home for the Holidays (1995) 
 Jurassic Park (1993)"	" 
 Jurassic Park (1993) 
 Beauty and the Beast (1991) 
 Aladdin (1992) 
 Toy Story (1995)"
" 
 Time to Kill, A (1996) 
  Godfather, The (1972)"	
" 
 Pulp Fiction (1994) 
 Trainspotting (1996) 
 Dazed and Confused (1993) 
 Jackie Brown (1997)"	" 
 Silence of the Lambs, The (1991)"
" 
 Lone Star (1996) 
 Richard III (1995) 
 Treasure of the Sierra Madre, The (1948) 
 East of Eden (1955)"	
" 
 Raising Arizona (1987) 
 Fargo (1996) 
 Star Wars (1977) 
 Sound of Music, The (1965)"	
" 
 Braveheart (1995) 
  Bronx Tale, A (1993)"	" 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991) 
 Pulp Fiction (1994)"
" 
 Titanic (1997) 
  In & Out (1997) 
  Postman, The (1997)"	" 
 Matrix, The (1999)"
" 
 Boot, Das (1981) 
 Great Escape, The (1963) 
 Bridge on the River Kwai, The (1957) 
 Mr. Holland's Opus (1995)"	
" 
 Princess Bride, The (1987) 
  Clear and Present Danger (1994)"	" 
 Back to the Future (1985) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Matrix, The (1999) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
" 
 Firm, The (1993) 
  E.T. the Extra-Terrestrial (1982) 
  Man Without a Face, The (1993)"	" 
 Batman (1989) 
 True Lies (1994) 
 Clear and Present Danger (1994) 
 Jurassic Park (1993)"
" 
 Cold Comfort Farm (1995) 
  Postino, Il (1994)"	
" 
 Patton (1970) 
 Stand by Me (1986) 
 My Left Foot (1989) 
 Lawrence of Arabia (1962)"	
" 
 Toy Story (1995) 
 Godfather, The (1972) 
 Butch Cassidy and the Sundance Kid (1969) 
 Fantasia (1940)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Omen, The (1976) 
 Fargo (1996) 
 Wes Craven's New Nightmare (1994) 
 Body Snatchers (1993)"	
" 
 Wag the Dog (1997) 
  Conspiracy Theory (1997) 
  Air Force One (1997)"	
" 
 Graduate, The (1967) 
  Magnificent Seven, The (1954)"	
" 
 Paradise Lost: The Child Murders at Robin Hood Hills (1996) 
  Freeway (1996)"	
" 
 Carrie (1976) 
  Blues Brothers, The (1980)"	
" 
 Pretty Woman (1990) 
  Apt Pupil (1998)"	" 
 Mrs. Doubtfire (1993) 
 Speed (1994) 
 Jurassic Park (1993) 
 Aladdin (1992)"
" 
 Toy Story (1995) 
  Nightmare Before Christmas, The (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Scream (1996) 
 Empire Strikes Back, The (1980) 
 Net, The (1995) 
 Indiana Jones and the Last Crusade (1989)"	
" 
 Glory (1989) 
  Persuasion (1995) 
  What's Eating Gilbert Grape (1993)"	
" 
 Toy Story (1995) 
  Psycho (1960)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Searching for Bobby Fischer (1993) 
 Rudy (1993) 
 Shawshank Redemption, The (1994) 
 Henry V (1989)"	
" 
 Toy Story (1995) 
  Phenomenon (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Deconstructing Harry (1997) 
 L.A. Confidential (1997) 
 Full Monty, The (1997) 
 Sweet Hereafter, The (1997)"	
" 
 Sunset Blvd. (1950) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Crying Game, The (1992) 
 39 Steps, The (1935)"	
" 
 L.A. Confidential (1997) 
  In the Company of Men (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Big Lebowski, The (1998) 
  Chasing Amy (1997)"	" 
 Truman Show, The (1998) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Lord of the Rings: The Fellowship of the Ring, The (2001)"
" 
 Sophie's Choice (1982) 
  Lawrence of Arabia (1962)"	
" 
 L.A. Confidential (1997) 
 English Patient, The (1996) 
 Eve's Bayou (1997) 
 Wings of the Dove, The (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Highlander (1986) 
  Clear and Present Danger (1994)"	
" 
 Gone with the Wind (1939) 
 Lawrence of Arabia (1962) 
 Mother (1996) 
 Pulp Fiction (1994)"	
" 
 Chasing Amy (1997) 
 Game, The (1997) 
 Cop Land (1997) 
 Full Monty, The (1997)"	
" 
 Raising Arizona (1987) 
  Schindler's List (1993)"	
" 
 Crash (1996) 
  Scream (1996)"	
" 
 Toy Story (1995) 
 Duck Soup (1933) 
 Sleepers (1996) 
 Bridge on the River Kwai, The (1957)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 English Patient, The (1996) 
  High Noon (1952)"	
" 
 Juror, The (1996) 
 City Hall (1996) 
 Looking for Richard (1996) 
 Diabolique (1996)"	
" 
 Full Monty, The (1997) 
  Cold Comfort Farm (1995)"	
" 
 Taxi Driver (1976) 
 2001: A Space Odyssey (1968) 
 Godfather, The (1972) 
 Fantasia (1940)"	" 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991)"
" 
 Ice Storm, The (1997) 
  Dazed and Confused (1993)"	
" 
 Empire Strikes Back, The (1980) 
  Return of the Jedi (1983)"	
" 
 Toy Story (1995) 
 Bean (1997) 
 Liar Liar (1997) 
 Independence Day (ID4) (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Bound (1996) 
 Heavy Metal (1981) 
 Ghost in the Shell (Kokaku kidotai) (1995) 
 Chasing Amy (1997)"	
" 
 Toy Story (1995) 
 Ransom (1996) 
 Benny & Joon (1993) 
 Saint, The (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Lawrence of Arabia (1962) 
 2001: A Space Odyssey (1968) 
 Aliens (1986) 
 Casablanca (1942)"	
" 
 E.T. the Extra-Terrestrial (1982) 
 Clockwork Orange, A (1971) 
 Ransom (1996) 
 Raising Arizona (1987)"	" 
 Men in Black (a.k.a. MIB) (1997) 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Toy Story (1995)"
" 
 Toy Story (1995) 
  Star Wars (1977)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
 Raiders of the Lost Ark (1981) 
 Star Trek VI: The Undiscovered Country (1991) 
 Little Princess, A (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Scream (1996) 
  I Know What You Did Last Summer (1997)"	
" 
 Citizen Kane (1941) 
 Manhattan (1979) 
 Apocalypse Now (1979) 
 Clockwork Orange, A (1971)"	
" 
 Boogie Nights (1997) 
 Good Will Hunting (1997) 
 Titanic (1997) 
 Crash (1996)"	
" 
 Tomorrow Never Dies (1997) 
 Monty Python and the Holy Grail (1974) 
 Casablanca (1942) 
 Sling Blade (1996)"	
" 
 My Fair Lady (1964) 
  Good, The Bad and The Ugly, The (1966)"	
" 
 Toy Story (1995) 
 Unbearable Lightness of Being, The (1988) 
 Cook the Thief His Wife & Her Lover, The (1989) 
 Fly Away Home (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Wrong Trousers, The (1993) 
 Leaving Las Vegas (1995) 
 Star Wars (1977) 
 Schindler's List (1993)"	
" 
 Princess Bride, The (1987) 
 Monty Python's Life of Brian (1979) 
 Silence of the Lambs, The (1991) 
 Shining, The (1980)"	" 
 Back to the Future (1985) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Matrix, The (1999) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
" 
 Conspiracy Theory (1997) 
 Fargo (1996) 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
 Shall We Dance? (1996)"	
" 
 Empire Strikes Back, The (1980) 
 Some Kind of Wonderful (1987) 
 Return of the Jedi (1983) 
 Paris Is Burning (1990)"	
" 
 Star Trek: The Motion Picture (1979) 
  Good, The Bad and The Ugly, The (1966)"	
" 
 Shining, The (1980) 
  Vertigo (1958)"	" 
 Sixth Sense, The (1999) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Fargo (1996)"
" 
 L.A. Confidential (1997) 
 Full Monty, The (1997) 
 Good Will Hunting (1997) 
 Star Wars (1977)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Bram Stoker's Dracula (1992) 
 Top Gun (1986) 
 Desperado (1995) 
 Hunt for Red October, The (1990)"	
" 
 Thin Line Between Love and Hate, A (1996) 
  Money Talks (1997)"	
" 
 Mr. Holland's Opus (1995) 
 Dead Poets Society (1989) 
 White Squall (1996) 
 Schindler's List (1993)"	
" 
 L.A. Confidential (1997) 
 Deconstructing Harry (1997) 
 Titanic (1997) 
 As Good As It Gets (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Godfather, The (1972) 
 All About Eve (1950) 
 Legends of the Fall (1994) 
 Mary Poppins (1964)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Lawrence of Arabia (1962) 
  Mary Poppins (1964) 
  Beauty and the Beast (1991)"	
" 
 Toy Story (1995) 
  Philadelphia Story, The (1940)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
 Liar Liar (1997) 
 Sleepers (1996) 
 Heat (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 English Patient, The (1996) 
 Nénette et Boni (1996) 
 Seven Years in Tibet (1997) 
 Close Shave, A (1995)"	
" 
 Sunset Blvd. (1950) 
 To Kill a Mockingbird (1962) 
 East of Eden (1955) 
 Bridge on the River Kwai, The (1957)"	
" 
 Good Will Hunting (1997) 
 Love! Valour! Compassion! (1997) 
 Circle of Friends (1995) 
 Boys on the Side (1995)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Lone Star (1996) 
 Ulee's Gold (1997) 
 Ulee's Gold (1997) 
 Star Wars (1977)"	
" 
 Chasing Amy (1997) 
  Leaving Las Vegas (1995)"	
" 
 Wizard of Oz, The (1939) 
  Platoon (1986) 
  High Noon (1952)"	" 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Pulp Fiction (1994) 
 Silence of the Lambs, The (1991) 
 Clerks (1994) 
 GoodFellas (1990)"	" 
 Silence of the Lambs, The (1991)"
" 
 Contact (1997) 
 Celluloid Closet, The (1995) 
 Star Wars (1977) 
 Love Jones (1997)"	
" 
 Star Maps (1997) 
 Steel (1997) 
 Cats Don't Dance (1997) 
 Anna Karenina (1997)"	
" 
 Scream (1996) 
  Apt Pupil (1998) 
  Scream 2 (1997)"	
" 
 Brazil (1985) 
  Psycho (1960)"	
" 
 Titanic (1997) 
  Dante's Peak (1997)"	" 
 Matrix, The (1999)"
" 
 Shawshank Redemption, The (1994) 
 Raising Arizona (1987) 
 Young Frankenstein (1974) 
 Forrest Gump (1994)"	
" 
 Kiss Me, Guido (1997) 
 Chasing Amy (1997) 
 Secrets & Lies (1996) 
 Time to Kill, A (1996)"	
" 
 Toy Story (1995) 
 Maltese Falcon, The (1941) 
 Full Metal Jacket (1987) 
 Amadeus (1984)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Lion King, The (1994) 
  Rock, The (1996) 
  Net, The (1995)"	" 
 Jurassic Park (1993) 
 Beauty and the Beast (1991) 
 Aladdin (1992) 
 Toy Story (1995)"
" 
 Ulee's Gold (1997) 
  Michael Collins (1996) 
  Ulee's Gold (1997)"	
" 
 Lawrence of Arabia (1962) 
 Godfather, The (1972) 
 Killing Fields, The (1984) 
 Deer Hunter, The (1978)"	
